"","X","Bird.ID","Date","x","y","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water","BurnDate1","BurnDate2","LastBurn"
"1",132,"149.135_205073","2022-01-11",-77.9984895570574,34.0740219763902,0,0,"billjones",1,0.594403743743896,0,0,0.696202516555786,0,0.303797453641891,70.9124603271484,49.8034019470215,93.2455139160156,0,92.7802200317383,4.64502477645874,NA,NA,NA
"2",182,"149.333_214607","2022-02-03",-77.9966108914341,34.0738509804671,0,0,"billjones",1,0.650974035263062,0,0,0.77215188741684,0.0126582281664014,0.227848097681999,47.2093696594238,70.8984603881836,46.554874420166,0,29.2070579528809,17.6097183227539,NA,NA,NA
"3",340,"149.667_230526","2023-06-06",-77.985667872049,34.0730804573399,1,0,"bigbay",1,0.613085508346558,0.329113930463791,0.354430377483368,0.316455692052841,0,0,56.8506851196289,9.9927806854248,0,4.65194272994995,62.025562286377,79.5813827514648,NA,NA,NA
"4",347,"149.667_230526","2023-05-31",-77.9902641825657,34.0714454512073,1,0,"bigbay",1,0.66987007856369,0.164556965231895,0.253164559602737,0.468354433774948,0,0.088607594370842,30.900842666626,17.1164035797119,0,0.0987721160054207,123.183959960938,12.0375499725342,NA,NA,NA
"5",351,"149.667_230526","2023-05-15",-77.9770568511256,34.0732732200091,1,0,"bigbay",1,0.346516191959381,0.493670880794525,0,0.164556965231895,0,0,124.658180236816,0,43.705379486084,15.5266790390015,131.41374206543,43.5655326843262,NA,NA,NA
"6",357,"149.667_230526","2023-06-09",-77.9702771986346,34.0713071493594,1,0,"bigbay",1,0.534355819225311,0,0,0.354430377483368,0,0,69.7630920410156,40.2848510742188,191.409301757812,0,228.693222045898,73.0055770874023,NA,NA,NA
"7",360,"149.667_230526","2023-06-10",-77.9689895851255,34.0741294155464,1,0,"bigbay",1,0.194446355104446,0,0,0,0,0.113924048841,116.890411376953,62.2627296447754,255.912399291992,48.2743835449219,205.405548095703,0,NA,NA,NA
"8",369,"149.667_230526","2023-06-09",-77.9896477639815,34.0664923526045,1,0,"bigbay",1,0.667048275470734,0.354430377483368,0,0.670886099338531,0,0,62.9886283874512,9.12467765808105,152.923309326172,0,38.771110534668,83.1901931762695,NA,NA,NA
"9",371,"149.667_230526","2023-06-02",-77.9615749210809,34.0726319616556,1,0,"bigbay",1,0.205031916499138,0,0,0,0,0.101265825331211,61.9791870117188,43.9409446716309,488.238494873047,127.277938842773,95.0831680297852,0,NA,NA,NA
"10",372,"149.667_230526","2023-04-26",-77.9762070147992,34.073114037329,1,0,"bigbay",1,0.565046072006226,0.696202516555786,0,0.177215188741684,0,0,107.51050567627,0.870532870292664,40.206298828125,0,135.342758178711,57.1707534790039,NA,NA,NA
"11",375,"149.667_230526","2023-05-28",-77.9640679108178,34.0735729110063,1,0,"bigbay",1,0.208159103989601,0,0,0,0,0.126582279801369,109.219779968262,51.6931228637695,408.318603515625,49.7332801818848,168.067718505859,1.50822830200195,NA,NA,NA
"12",616,"153.246_220208","2022-05-17",-77.96936042,34.06875499,0,1,"bigbay",1,0.203525081276894,0.0126582281664014,0,0.0126582281664014,0,0.113924048841,5.57309913635254,33.1823387145996,248.248672485352,31.3165321350098,132.529144287109,18.6854839324951,NA,NA,NA
"13",1080,"162.053_220257","2022-10-07",-78.0023940087912,34.0710715865877,0,0,"billjones",1,0.625822961330414,0,0,0.962025344371796,0,0.0379746817052364,53.5349578857422,67.1726608276367,77.761833190918,0,90.7810287475586,23.3580455780029,NA,NA,NA
"14",1081,"162.053_220257","2022-04-28",-78.00495467,34.06383329,0,1,"billjones",1,0.619144856929779,0.405063301324844,0,0.594936728477478,0,0,28.8449020385742,8.79763412475586,68.7688827514648,0,56.0899887084961,283.423828125,NA,NA,NA
"15",1085,"162.053_220257","2022-05-11",-78.00473779,34.06408547,0,1,"billjones",1,0.570807874202728,0.405063301324844,0,0.594936728477478,0,0,27.9406661987305,9.62487697601318,81.4522247314453,0,55.8219985961914,296.01220703125,NA,NA,NA
"16",1090,"162.053_220257","2022-08-19",-78.0019406522894,34.0643177180414,0,1,"billjones",1,0.572412431240082,0.582278490066528,0,0.430379748344421,0,0,22.6061115264893,10.2915191650391,111.308074951172,0,67.1501235961914,264.314819335938,NA,NA,NA
"17",1096,"162.053_220257","2022-09-26",-78.0035380248495,34.0643039910296,0,1,"billjones",1,0.592597007751465,0.455696195363998,0,0.544303774833679,0,0,34.2033920288086,11.3448810577393,82.7532348632812,0,49.9160079956055,271.746185302734,NA,NA,NA
"18",1098,"162.053_220257","2022-06-06",-78.0051555978254,34.0638119283543,0,1,"billjones",1,0.597475230693817,0.455696195363998,0,0.544303774833679,0,0,25.8529148101807,8.92019462585449,63.0528373718262,0,56.673713684082,280.770294189453,NA,NA,NA
"19",1100,"162.053_220257","2022-11-04",-78.0037266405165,34.0644000175551,0,1,"billjones",1,0.558786392211914,0.455696195363998,0,0.544303774833679,0,0,28.5943489074707,9.98538494110107,79.6328582763672,0,46.5234870910645,274.711761474609,NA,NA,NA
"20",1106,"162.053_220257","2022-10-21",-78.0050260104558,34.0639327714827,0,1,"billjones",1,0.545718431472778,0.468354433774948,0,0.531645596027374,0,0,21.9415683746338,1.40974617004395,70.0201263427734,0,53.3146133422852,290.565155029297,NA,NA,NA
"21",1108,"162.053_220257","2022-05-03",-78.00417754,34.06419144,0,1,"billjones",1,0.62090015411377,0.443037986755371,0,0.556962013244629,0,0,29.4724464416504,12.7205324172974,85.6730270385742,0,51.7272987365723,285.7783203125,NA,NA,NA
"22",1109,"162.053_220257","2022-06-03",-78.0073685839096,34.0687852505945,0,0,"billjones",1,0.635306119918823,0,0,0.822784781455994,0.189873412251472,0,67.1558456420898,41.7460670471191,41.5777397155762,0,13.704062461853,211.61946105957,NA,NA,NA
"23",1111,"162.053_220257","2022-07-27",-78.0041510508937,34.063621740619,0,0,"billjones",1,0.574977874755859,0.417721509933472,0,0.582278490066528,0,0,50.4720573425293,5.14484643936157,96.5249176025391,0,53.8063735961914,291.289520263672,NA,NA,NA
"24",1117,"162.053_220257","2022-06-17",-78.0022965589504,34.0642019888454,0,0,"billjones",1,0.615240395069122,0.556962013244629,0,0.455696195363998,0,0,30.6601409912109,12.7335834503174,109.635780334473,0,72.0764007568359,273.125793457031,NA,NA,NA
"25",1127,"162.053_220257","2022-04-28",-78.010697611505,34.0639062579669,0,0,"billjones",1,0.671642899513245,0,0,0.810126602649689,0.189873412251472,0,48.8905982971191,63.4209480285645,39.9770088195801,0,17.5630207061768,255.777435302734,NA,NA,NA
"26",1130,"162.053_220257","2022-12-09",-78.0045281569388,34.0642929616426,0,1,"billjones",1,0.505014955997467,0.506329119205475,0,0.493670880794525,0,0,23.7465667724609,11.5949268341064,83.8547592163086,0,49.2199172973633,289.526428222656,NA,NA,NA
"27",1153,"162.053_220257","2022-09-12",-77.9991320486682,34.0731046658365,0,0,"billjones",1,0.652987360954285,0,0,0.784810125827789,0,0.215189874172211,44.9258193969727,41.9650688171387,98.3628158569336,0,90.3803787231445,4.45612859725952,NA,NA,NA
"28",1155,"162.053_220257","2022-09-16",-78.0026756897875,34.0641850669109,0,1,"billjones",1,0.616804659366608,0.481012672185898,0,0.531645596027374,0,0,40.0354347229004,9.85422325134277,102.902549743652,0,71.1885223388672,274.373382568359,NA,NA,NA
"29",1171,"162.053_220257","2022-06-24",-78.007478432741,34.0629906079982,0,1,"billjones",1,0.469504535198212,0,0.493670880794525,0.506329119205475,0,0,19.627405166626,42.8506507873535,0,3.51274490356445,45.3631553649902,222.958541870117,NA,NA,NA
"30",1180,"162.053_220257","2022-04-06",-77.9915497731128,34.0676939870137,0,0,"billjones",1,0.683538615703583,0.0759493634104729,0,0.924050629138947,0,0,65.6168594360352,24.1486625671387,112.250587463379,0,90.3708114624023,153.542282104492,NA,NA,NA
"31",1186,"162.053_220257","2022-05-23",-78.00458586,34.06416113,0,1,"billjones",1,0.561536967754364,0.443037986755371,0,0.556962013244629,0,0,20.9441089630127,7.36984825134277,82.7034759521484,0,47.9662246704102,291.5546875,NA,NA,NA
"32",1191,"162.053_220257","2022-06-10",-78.0056653441385,34.0635588243804,0,1,"billjones",1,0.515492558479309,0.443037986755371,0,0.556962013244629,0,0,24.8498249053955,5.6100606918335,44.6640243530273,0,47.0563583374023,266.028472900391,NA,NA,NA
"33",1192,"162.053_220257","2022-10-17",-78.0047218094596,34.0640519794862,0,1,"billjones",1,0.570807874202728,0.405063301324844,0,0.594936728477478,0,0,27.9406661987305,9.62487697601318,81.4522247314453,0,55.8219985961914,296.01220703125,NA,NA,NA
"34",1203,"162.053_220257","2022-04-26",-78.0100186024082,34.0626533961391,0,0,"billjones",1,0.745520830154419,0,0.0253164563328028,0.658227860927582,0.316455692052841,0,36.5492553710938,44.9229164123535,25.2623405456543,7.62573385238647,0,204.009918212891,NA,NA,NA
"35",1220,"162.053_220257","2022-06-03",-78.00333922,34.064211,0,1,"billjones",1,0.647976458072662,0.481012672185898,0,0.531645596027374,0,0,44.0725517272949,12.9304313659668,92.3025665283203,0,59.6404304504395,278.299163818359,NA,NA,NA
"36",1222,"162.053_220257","2022-10-28",-78.0108156479615,34.0649101718207,0,0,"billjones",1,0.658023178577423,0,0.0253164563328028,0.924050629138947,0.0632911399006844,0,44.8436660766602,61.2716178894043,25.9365825653076,0,22.7065353393555,304.213989257812,NA,NA,NA
"37",1225,"162.053_220257","2022-06-01",-78.00534996,34.06382679,0,1,"billjones",1,0.597475230693817,0.455696195363998,0,0.544303774833679,0,0,22.8532676696777,9.26362705230713,57.3367881774902,0,52.4115753173828,278.211791992188,NA,NA,NA
"38",1246,"162.053_220257","2022-07-29",-78.0039369226497,34.0640845743489,0,1,"billjones",1,0.637880325317383,0.430379748344421,0,0.569620251655579,0,0,39.3811187744141,6.3835277557373,94.5291290283203,0,60.8367614746094,291.779602050781,NA,NA,NA
"39",1252,"162.053_220257","2022-10-21",-78.0002129511694,34.0717240813804,0,0,"billjones",1,0.636020541191101,0,0,0.822784781455994,0,0.202531650662422,66.6604537963867,62.9396324157715,70.9816818237305,0,92.4999465942383,9.56109428405762,NA,NA,NA
"40",1257,"162.053_220257","2022-09-14",-78.0102448956498,34.0629023753475,0,0,"billjones",1,0.719456076622009,0,0,0.620253145694733,0.379746824502945,0,43.0108871459961,42.0597763061523,35.6480979919434,3.47464060783386,0,214.015258789062,NA,NA,NA
"41",1259,"162.053_220257","2022-09-12",-78.0044906891066,34.0642247529528,0,1,"billjones",1,0.604765176773071,0.455696195363998,0,0.544303774833679,0,0,23.7465667724609,11.5949268341064,83.8547592163086,0,49.2199172973633,289.526428222656,NA,NA,NA
"42",1286,"162.053_220257","2022-09-06",-78.0126597701604,34.0625091546544,0,0,"billjones",1,0.675760865211487,0.177215188741684,0,0.873417735099792,0,0,78.6955718994141,21.1774845123291,117.744476318359,0,74.9453125,227.931701660156,NA,NA,NA
"43",1288,"162.053_220257","2022-10-03",-78.0048111990169,34.0641048717143,0,1,"billjones",1,0.512148082256317,0.468354433774948,0,0.531645596027374,0,0,18.0822525024414,1.58565008640289,76.9933471679688,0,46.7125358581543,293.682983398438,NA,NA,NA
"44",1290,"162.053_220257","2022-07-27",-78.0036892292781,34.0644795456949,0,1,"billjones",1,0.444556653499603,0.506329119205475,0,0.493670880794525,0,0,31.3796272277832,12.3723306655884,81.0087127685547,0,47.9013404846191,273.171722412109,NA,NA,NA
"45",1294,"162.053_220257","2022-06-08",-78.005210449855,34.0634920789017,0,1,"billjones",1,0.661355137825012,0.379746824502945,0,0.620253145694733,0,0,39.7410697937012,5.86964750289917,61.6301193237305,0,40.8381996154785,266.500244140625,NA,NA,NA
"46",1952,"162.085_230258","2023-06-14",-77.9967815479066,34.0757047979979,1,0,"bluepond",1,0.645887076854706,0.202531650662422,0,0.797468364238739,0,0,34.6992721557617,14.7238273620605,122.973281860352,0,79.9556274414062,42.9109344482422,NA,NA,NA
"47",2037,"162.101_220291","2023-02-06",-78.0009389454051,34.0728389439319,1,0,"bluepond",1,0.656573355197906,0.240506336092949,0,0.746835470199585,0,0.0253164563328028,13.2461185455322,10.5511379241943,120.405799865723,0,132.4345703125,31.6030120849609,NA,NA,NA
"48",2039,"162.101_220291","2023-07-14",-78.0020737341055,34.0829044812062,1,1,"bluepond",1,0.720717549324036,0.620253145694733,0,0.316455692052841,0,0,30.2018566131592,0,323.886047363281,4.13560247421265,51.2069702148438,173.442474365234,NA,NA,NA
"49",2049,"162.101_220291","2023-01-11",-78.0016557919059,34.0741458711585,1,0,"bluepond",1,0.654626071453094,0.430379748344421,0,0.569620251655579,0,0,38.2401924133301,10.0418930053711,180.112228393555,0,121.708160400391,67.6305618286133,NA,NA,NA
"50",2051,"162.101_220291","2023-04-19",-78.0015745776741,34.0736501923943,1,0,"bluepond",1,0.645120084285736,0.544303774833679,0,0.468354433774948,0,0,16.7304973602295,8.59890937805176,156.684646606445,0,119.017578125,60.6738128662109,NA,NA,NA
"51",2059,"162.101_220291","2023-07-11",-77.9851368239011,34.0769963761387,1,0,"bluepond",1,0.533114731311798,0,0,0.696202516555786,0,0.0126582281664014,18.6244525909424,87.523681640625,74.8323364257812,0.812074661254883,194.195785522461,34.0028953552246,NA,NA,NA
"52",2060,"162.101_220291","2023-06-21",-78.0017959177407,34.074488288599,1,0,"bluepond",1,0.66323983669281,0.392405062913895,0,0.607594907283783,0,0,40.4934844970703,5.57690525054932,189.293441772461,0,117.888336181641,76.5432815551758,NA,NA,NA
"53",2068,"162.101_220291","2023-06-20",-78.0091570938478,34.0880408698176,1,0,"bluepond",1,0.496187508106232,0.582278490066528,0,0.392405062913895,0.0759493634104729,0,29.2236804962158,0.909065842628479,69.7605361938477,0,20.1092796325684,252.948287963867,NA,NA,NA
"54",2071,"162.101_220291","2023-06-30",-77.9970677308789,34.0841571408585,1,0,"bluepond",1,0.723429501056671,0.607594907283783,0,0.417721509933472,0,0,32.9518547058105,8.71569347381592,462.204925537109,0,77.0856781005859,84.5740127563477,NA,NA,NA
"55",2073,"162.101_220291","2023-07-28",-78.0069767166257,34.0762644302981,1,0,"bluepond",1,0.646557986736298,0.316455692052841,0,0.696202516555786,0,0,37.9365119934082,5.10777568817139,199.453750610352,0,114.822944641113,72.5782165527344,NA,NA,NA
"56",2075,"162.101_220291","2023-07-18",-78.002789671783,34.0725385197414,1,0,"bluepond",1,0.655052006244659,0.253164559602737,0,0.746835470199585,0,0,42.6656532287598,14.4349174499512,128.148101806641,0,83.3469390869141,63.0707015991211,NA,NA,NA
"57",2076,"162.101_220291","2023-07-07",-78.0106818824058,34.0687191189092,1,0,"bluepond",1,0.679445505142212,0.392405062913895,0,0.607594907283783,0,0,82.611442565918,0,84.4538803100586,7.15456962585449,115.821846008301,256.727111816406,NA,NA,NA
"58",2094,"162.101_220291","2023-06-29",-78.0029951702284,34.0844052697166,1,1,"bluepond",1,0.71107417345047,0.696202516555786,0,0.316455692052841,0.0253164563328028,0,38.5017471313477,7.58841753005981,292.784881591797,0,25.6298198699951,228.340805053711,NA,NA,NA
