"","X","Bird.ID","Date","x","y","week","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water"
"94",1083,"162.053_220257","2022-08-23",-78.004105608431,34.0587092764115,NA,0,0,"billjones",0,1.22292684786153,-0.29066585637859,-0.499698781722315,1.14490652798223,-0.503251100114711,-0.281902246503874,1.03415816385189,0.0902948972193834,-0.457807617264968,-0.80878705549952,-0.0376227224292078,-0.425781062793054
"101",1090,"162.053_220257","2022-08-19",-78.0019406522894,34.0643177180414,34,0,1,"billjones",1,0.486777479931322,0.115783129162919,-0.499698781722315,0.695915478384009,-0.503251100114711,-0.281902246503874,-0.158255695467817,-0.0208147017636472,-0.434818235272621,-0.80878705549952,-0.054447381923319,1.04828380805769
"118",1107,"162.053_220257","2022-08-30",-78.0034598067411,34.0655216061316,35,0,1,"billjones",0,-1.07354286040792,0.891731160835163,-0.499698781722315,-0.785755148479491,0.60902522599709,-0.281902246503874,-0.807617964789168,-0.548215286088905,-0.781035461091521,-0.0805706986656436,-0.78379124876862,0.69128733313837
"124",1113,"162.053_220257","2022-08-03",-78.0049373314659,34.0648132441163,31,0,1,"billjones",0,-0.314698054465815,0.448332235882879,-0.499698781722315,-0.471461372137536,1.47412911602,-0.281902246503874,-0.875299645285161,-0.548215286088905,-0.698595964781642,-0.323225587128709,-0.728936290318303,1.13522370013548
"126",1115,"162.053_220257","2022-08-11",-78.0045969741778,34.0647093172137,32,0,1,"billjones",1,-0.201546329180892,0.337482591639063,-0.499698781722315,0.15712613429837,0.11468020833459,-0.281902246503874,-1.11415441893536,-0.548215286088905,-0.68971769639459,-0.500793415653179,-0.69156878218445,1.09246384702536
"133",1122,"162.053_220257","2022-08-31",-77.9974430502052,34.0526444102408,NA,0,0,"billjones",0,-1.25638110153678,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.163169484936049,-0.548215286088905,-0.035052076627731,0.200677747116456,1.67132507024687,-0.0703639852110322
"137",1126,"162.053_220257","2022-08-01",-77.9978948193833,34.0703146280999,NA,0,0,"billjones",1,-0.0480788009501285,-0.29066585637859,-0.441571859242891,-0.202066726522147,3.08075053253666,-0.281902246503874,-0.430621756269734,-0.335764916888803,-0.817393300811324,-0.379979860626632,-1.05518574204357,-0.492390461993374
"142",1131,"162.053_220257","2022-08-11",-77.9992151662732,34.0520970544264,NA,0,0,"billjones",0,-1.19953554625249,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.932413272449523,-0.548215286088905,-0.313722430430682,0.0629185274800053,0.95625253920873,-0.486948501035553
"146",1135,"162.053_220257","2022-08-19",-77.9944162024383,34.0644770326362,NA,0,0,"billjones",1,-0.307566097492781,0.596131993525979,-0.499698781722315,-0.830654259385485,2.21564656977137,-0.281902246503874,-0.691093526686937,-0.548215286088905,0.162026154742355,0.870360939944237,-0.911062777381075,0.992463749007878
"152",1141,"162.053_220257","2022-08-03",-77.9827250770218,34.0555660373173,NA,0,0,"billjones",1,0.948474474704134,0.411382296472103,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,0.130838335681156,-0.273441450525435,0.0446176453677222,0.988199469374334,-0.468614357724556,-0.349556499418414
