"","X","Bird.ID","Date","x","y","week","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water"
"93",1082,"162.053_220257","2022-07-25",-78.0036983013642,34.0683961212019,30,0,1,"billjones",0,0.573640284652371,-1.47306297146088,1.41848957028883,0.336722617563492,1.84488791563805,-0.281902246503874,-0.662163752752989,0.923831926933848,-0.978315156331956,-0.779245925702726,-0.889253173086541,-0.225099544476448
"115",1104,"162.053_220257","2022-07-10",-77.9986555069036,34.0702376825843,NA,0,0,"billjones",1,-0.0854310408431162,-0.364565735200139,-0.499698781722315,1.05510844491425,0.11468020833459,-0.281902246503874,-0.856072002296861,-0.548215286088905,-0.712635683137764,-0.635727062672183,-0.685822197863954,-0.63423989858262
"122",1111,"162.053_220257","2022-07-27",-78.0041510508937,34.063621740619,NA,0,0,"billjones",1,0.503219181060216,-0.364565735200139,-0.499698781722315,1.23470482246965,-0.503251100114711,-0.281902246503874,1.02934687878439,-0.284561788984165,-0.507001682035511,-0.80878705549952,-0.253309301718981,1.29398986027939
"125",1114,"162.053_220257","2022-07-22",-78.0139752367205,34.0598315242668,NA,0,0,"billjones",1,1.36317695363671,-0.25371600396207,-0.499698781722315,0.561218142362602,0.979783952872779,-0.281902246503874,0.947329864365556,-0.548215286088905,-0.537745709401322,-0.712061050420979,-0.733252176535669,0.324103130368845
"129",1118,"162.053_220257","2022-07-29",-78.0102573429791,34.0555781528526,NA,0,0,"billjones",0,-0.376363697221226,-0.216766064551294,0.430331977948454,-0.695956936577791,0.856197734828332,1.04963722247424,-0.295569322583675,-0.548215286088905,-0.887161546691367,-0.146497241342724,-1.05518574204357,-1.22721288259069
"150",1139,"162.053_220257","2022-07-03",-78.0088231364534,34.0582998615925,NA,0,0,"billjones",0,-1.40709497621424,0.928681100245939,-0.383444936763468,-0.830654259385485,0.361852717165838,0.127802207808147,-0.240469833734197,-0.548215286088905,-0.833829425944784,0.72759682851722,-0.667088017459212,-1.12518350708951
"156",1145,"162.053_220257","2022-07-25",-77.9949845139382,34.0552432680906,NA,0,0,"billjones",0,0.115759478961543,0.0788331897521457,-0.499698781722315,0.695915478384009,-0.503251100114711,-0.281902246503874,1.33582950935631,-0.548215286088905,0.0316566788654518,-0.798228136388994,1.94531416062619,0.792929581861195
"157",1146,"162.053_220257","2022-07-22",-77.992338660788,34.0521753978753,NA,0,0,"billjones",1,-0.00670103547696567,-0.179816125140518,-0.499698781722315,0.15712613429837,-0.503251100114711,-0.281902246503874,1.30398258698729,-0.548215286088905,-0.60933921869179,-0.523278797201475,1.20376296994751,1.51412089201975
"163",1152,"162.053_220257","2022-07-03",-78.0047020582014,34.0659063958966,27,0,1,"billjones",0,1.16573290774813,-0.844914512568946,0.779093452951777,-0.830654259385485,3.94585420433247,-0.281902246503874,-0.589905953907412,0.425260323827527,-0.922539280328151,0.431360446064527,-1.05518574204357,0.694125481035366
"169",1158,"162.053_220257","2022-07-13",-77.9908512844815,34.0607450486443,NA,0,0,"billjones",1,-0.0455354388972877,0.965631039656712,-0.499698781722315,-0.830654259385485,0.732611516783894,-0.281902246503874,-0.811722489736052,-0.548215286088905,0.722886892139174,0.664260258802919,-0.842767579665348,0.983852847205233
