"","X","Bird.ID","Date","x","y","week","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water"
"111",1100,"162.053_220257","2022-11-04",-78.0037266405165,34.0644000175551,45,0,1,"billjones",1,0.399449398102976,-0.25371600396207,-0.499698781722315,1.10000738073852,-0.503251100114711,-0.281902246503874,0.0969535185253156,-0.036502897645879,-0.589482510476335,-0.80878705549952,-0.361846166697975,1.14298704925077
"135",1124,"162.053_220257","2022-11-04",-78.0065790541212,34.0578555627624,NA,0,0,"billjones",0,-1.40769433564063,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.285549822243472,-0.548215286088905,-0.674309752256256,0.827035450538706,-0.10096104524789,-0.904314202474916
"141",1130,"162.053_220257","2022-12-09",-78.0045281569388,34.0642929616426,50,0,1,"billjones",1,0.054833007965259,-0.105916333313222,-0.499698781722315,0.920411003183119,-0.503251100114711,-0.281902246503874,-0.109651295140745,0.0459799040915617,-0.568867742294582,-0.80878705549952,-0.321661264596273,1.2779302796278
"148",1137,"162.053_220257","2022-11-07",-78.0032225023857,34.0646108799273,45,0,1,"billjones",1,-0.0924262414906936,-0.0689663939024461,-0.499698781722315,0.920411003183119,-0.503251100114711,-0.281902246503874,0.163568535463564,-0.268579187432258,-0.599914375248198,-0.80878705549952,-0.3748821425043,1.03253611789977
"149",1138,"162.053_220257","2022-12-09",-77.9935082887912,34.0604849006207,NA,0,0,"billjones",1,-0.790710724307884,0.965631039656712,-0.499698781722315,-0.830654259385485,0.732611516783894,-0.281902246503874,-0.942774406707366,-0.548215286088905,0.789736240207565,0.957672564062656,-0.961692099683116,1.55442676181599
"226",1215,"162.053_220257","2022-11-07",-78.0076727318967,34.0562218953604,NA,0,0,"billjones",0,-1.45969306339017,0.263582712817511,-0.499698781722315,-0.830654259385485,-0.503251100114711,2.99573338799229,0.506370889471524,-0.11164598618887,-0.491114013231788,1.95635926722697,0.204152749903502,-1.3592962046628
"243",1232,"162.053_220257","2022-11-17",-78.0041808774167,34.0612838780855,NA,0,0,"billjones",0,-1.08108852436552,0.854781221424387,-0.499698781722315,-0.785755148479491,0.732611516783894,-0.281902246503874,-0.323062856228791,-0.548215286088905,-0.373549972855176,-0.100502892137293,-0.761201699113229,0.5136292819685
"248",1237,"162.053_220257","2022-11-17",-77.9835823727199,34.0593416643607,NA,0,0,"billjones",1,-0.306273597416812,0.263582712817511,-0.499698781722315,-0.0224702961118882,0.732611516783894,-0.281902246503874,-0.831362446718466,-0.548215286088905,0.611405697189709,-0.598756820588899,-0.85523424098072,-0.787296753132085
"255",1244,"162.053_220257","2022-12-09",-77.9982193418247,34.0676020798769,NA,0,0,"billjones",0,-0.510843106262984,0.374432531049836,-0.499698781722315,-0.830654259385485,2.83357780547832,-0.281902246503874,-0.859339706027831,-0.548215286088905,-0.602684913247785,0.46232130566879,-0.941792023405519,0.219537811693939
"273",1262,"162.053_220257","2022-11-04",-77.9974802993881,34.0520908152461,NA,0,0,"billjones",0,-1.05175830356379,1.07648068390053,-0.499698781722315,-0.516360492953816,-0.503251100114711,-0.281902246503874,-1.01888423923757,-0.548215286088905,-0.116940359890713,-0.0477558705750436,1.35131100290133,-0.0110512807888712
"276",1265,"162.053_220257","2022-11-17",-78.0036411622239,34.0647717053698,46,0,1,"billjones",1,-0.842834748355606,0.0788331897521457,-0.499698781722315,0.695915478384009,-0.503251100114711,-0.281902246503874,-0.380314449764391,-0.548215286088905,-0.657750673812128,-0.76447341962831,-0.565337303895754,0.987562175857281
"285",1274,"162.053_220257","2022-11-07",-77.9960739591948,34.0666358382506,NA,0,0,"billjones",0,-0.200939520736779,1.03953074448976,-0.499698781722315,-0.830654259385485,0.485439007952642,-0.281902246503874,0.92432303206701,-0.548215286088905,-0.313763557670485,0.780425344323388,-0.781457708871968,0.902401755254769
"355",2042,"162.101_220291","2022-12-29",-78.0015408606654,34.0836789290486,52,0,1,"bluepond",0,0.880928691954828,0.817831282013614,-0.499698781722315,-0.561259613770096,0.238266426379033,-0.281902246503874,-0.750796731224655,-0.548215286088905,0.674995413480068,-0.297554746917484,-0.80389313699205,0.207653171616776
"356",2043,"162.101_220291","2022-12-29",-77.9927651617967,34.0863233956097,NA,0,0,"bluepond",1,0.303077444751512,-1.21441360219681,-0.499698781722315,2.26738436339722,-0.503251100114711,-0.281902246503874,1.00986258867539,0.830147292472372,1.54964246194515,-0.80878705549952,0.3557993582784,-0.35076722940522
