"","X","Bird.ID","Date","x","y","week","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water"
"89",1078,"162.053_220257","2022-04-12",-78.0103963609441,34.0551968117127,NA,0,0,"billjones",0,-0.720198322498454,0.152733068573695,0.255951206233525,-0.785755148479491,1.10337031640194,0.127802207808147,-1.00907552932095,-0.472458882945831,-0.918776976077015,0.0166987142747747,-1.05518574204357,-1.0735540248354
"92",1081,"162.053_220257","2022-04-28",-78.00495467,34.06383329,17,0,1,"billjones",1,0.786281472707985,-0.401515587616662,-0.499698781722315,1.27960396971336,-0.503251100114711,-0.281902246503874,0.107631697024973,-0.0973705367696784,-0.64252931099677,-0.80878705549952,-0.219276583382134,1.22234316552782
"97",1086,"162.053_220257","2022-04-26",-78.0031905252903,34.060160074076,NA,0,0,"billjones",0,-1.41344039331543,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,1.26323038142378,-0.548215286088905,-0.294124555604869,-0.00963767930366379,0.115693355885151,0.158152230791099
"99",1088,"162.053_220257","2022-04-06",-78.0056785498627,34.0664765933005,NA,0,0,"billjones",0,-0.436536671424298,-1.51001287281167,2.81353574400825,-0.606158708158945,1.35054275249083,-0.281902246503874,-0.426994027169362,0.690280945268375,-0.978315156331956,-0.370658100124249,-0.781007965063104,0.676791652591432
"100",1089,"162.053_220257","2022-04-26",-78.00383257,34.06508926,17,0,1,"billjones",1,-0.790547609919696,0.485282175293654,-0.499698781722315,-0.0224702961118882,0.11468020833459,-0.281902246503874,-1.09663103544658,-0.548215286088905,-0.741252381672897,-0.30869098136202,-0.817607025837028,0.862653507856305
"110",1099,"162.053_220257","2022-04-22",-78.00582231,34.06281009,17,0,1,"billjones",1,0.880994778112102,-0.660164989503578,-0.499698781722315,1.54899864175618,-0.379664836606292,-0.281902246503874,1.21141355333123,0.0421346943165816,-0.772572060010709,-0.80878705549952,-0.589405391297197,0.776130442690506
"138",1127,"162.053_220257","2022-04-28",-78.010697611505,34.0639062579669,NA,0,0,"billjones",1,1.12273679542353,-1.58391269182467,-0.499698781722315,2.04288883859811,1.35054275249083,-0.281902246503874,0.961947593441539,2.70186320206592,-0.783114752263025,-0.80878705549952,-0.793444026630641,0.970518833657461
"191",1180,"162.053_220257","2022-04-06",-77.9915497731128,34.0676939870137,NA,0,0,"billjones",1,1.19897539086048,-1.36221325109709,-0.499698781722315,2.44698074095262,-0.503251100114711,-0.281902246503874,1.67479441074775,0.689310344903207,-0.430216119490193,-0.80878705549952,0.291610552918876,0.0392834528494434
"195",1184,"162.053_220257","2022-04-12",-78.00688708,34.06130509,15,0,1,"billjones",1,0.841937477161313,-0.586265197676282,-0.499698781722315,1.72859501931158,-0.503251100114711,-0.281902246503874,0.821994213820413,-0.5371232995706,-0.707858608947959,-0.80878705549952,-0.524208400283979,0.110615199357401
"211",1200,"162.053_220257","2022-04-28",-77.996326164387,34.0550302573347,NA,0,0,"billjones",0,-0.745935251748663,0.411382296472103,-0.499698781722315,0.291823470319781,-0.503251100114711,-0.281902246503874,1.16821164703794,-0.548215286088905,0.198877800736826,-0.620016005182274,2.18656149239712,0.369009245958161
"214",1203,"162.053_220257","2022-04-26",-78.0100186024082,34.0626533961391,NA,0,0,"billjones",1,1.5962139342314,-1.58391269182467,-0.383444936763468,1.50409949451247,2.58640536938943,-0.281902246503874,0.435979060902431,1.75391056972783,-0.854963779431956,-0.604382684202953,-1.05518574204357,0.498980991901926
"220",1209,"162.053_220257","2022-04-22",-78.0007121449513,34.0522120310253,NA,0,0,"billjones",0,-0.563592083798008,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.26487596084169,-0.548215286088905,-0.394965083084002,0.861011699419204,0.247302800259394,-0.889535575817236
"245",1234,"162.053_220257","2022-04-12",-77.9921596109095,34.0552125425137,NA,0,0,"billjones",0,1.07122435483129,0.448332235882879,-0.499698781722315,0.246924323076069,-0.503251100114711,-0.281902246503874,-0.278864275504658,-0.409735147785092,-0.2710009140362,-0.80878705549952,1.51992235024766,1.60985654078281
"251",1240,"162.053_220257","2022-04-22",-78.0056271287109,34.0570703997715,NA,0,0,"billjones",1,-1.56348805840741,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.679977570669349,-0.548215286088905,-0.466092595415485,1.06005571524615,0.385194786451045,-1.00047960409289
"295",1284,"162.053_220257","2022-04-06",-78.00534345,34.06209191,14,0,1,"billjones",1,-0.30509321460767,0.263582712817511,-0.499698781722315,-0.157167632133299,1.10337031640194,-0.281902246503874,0.170115485847711,-0.548215286088905,-0.626045818756958,-0.372615137867636,-0.868721936148601,0.601483163300488
"487",2174,"162.103_220217","2022-04-06",-77.99759004252,34.0558650592084,NA,0,0,"billjones",0,-0.817040327968574,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.996891273820906,-0.548215286088905,0.489704681172159,-0.0299830700647427,1.67117225627162,0.164516937287024
"489",2176,"162.103_220217","2022-04-11",-77.99316397,34.05200584,15,0,1,"billjones",1,0.915464630145424,-0.918814347893369,-0.499698781722315,1.32450290553763,-0.503251100114711,-0.281902246503874,0.384827820465026,0.0226089615827023,-0.483964988816212,-0.80878705549952,1.62016104115754,1.26530788788378
"492",2179,"162.103_220217","2022-04-06",-78.0087849710514,34.058661622794,NA,0,0,"billjones",0,-0.977611163104196,0.374432531049836,-0.0346834018869302,-0.830654259385485,1.84488791563805,-0.281902246503874,-0.731976850092135,-0.548215286088905,-0.896834708883809,0.35426576655382,-0.902948514476375,-0.982494405417855
"495",2182,"162.103_220217","2022-04-06",-77.99275322,34.05322405,14,0,1,"billjones",1,0.814580864056492,0.189682833995962,-0.499698781722315,0.561218142362602,-0.503251100114711,-0.281902246503874,0.800427645575833,-0.376927792473701,-0.491330899817064,-0.80878705549952,1.52135702788139,1.38137534991633
"497",2184,"162.103_220217","2022-04-22",-77.99091398,34.05403821,17,0,1,"billjones",1,0.685003099679944,0.559182054115203,-0.499698781722315,0.112227092764383,-0.503251100114711,-0.281902246503874,0.885166838719077,-0.548215286088905,-0.581219548810171,-0.314716698477759,0.962712113287641,1.80085360909126
"501",2188,"162.103_220217","2022-04-22",-77.9975163677993,34.065932645522,NA,0,0,"billjones",0,-1.35491613503606,0.854781221424387,-0.499698781722315,-0.785755148479491,0.979783952872779,-0.281902246503874,-0.261233356003544,-0.548215286088905,-0.315625384836227,0.0414513894128938,-0.755051192436271,0.821077698915356
"510",2197,"162.103_220217","2022-04-11",-78.007935750939,34.0630091424968,NA,0,0,"billjones",1,-0.459429794906659,-1.58391269182467,2.81353574400825,0.15712613429837,-0.503251100114711,-0.281902246503874,-0.512693599569046,2.23044348440154,-0.978315156331956,-0.489545164967473,-0.466131585430197,0.65127417340437
"512",2199,"162.103_220217","2022-04-11",-77.998523536797,34.049988298863,NA,0,0,"billjones",1,0.689614614654687,-0.364565735200139,-0.499698781722315,1.18980567522594,-0.503251100114711,-0.281902246503874,0.656273292576841,-0.548215286088905,-0.528258243774657,-0.784022447321332,0.0594915821518243,-0.183012326858374
"526",2213,"162.103_220217","2022-04-22",-78.00046612941,34.0617911729131,NA,0,0,"billjones",1,-1.17358775250045,0.448332235882879,-0.499698781722315,0.246924323076069,-0.503251100114711,-0.281902246503874,-0.981695788973188,-0.548215286088905,0.120851752722062,-0.369494532058161,0.0933889964480824,1.0156342661289
"612",2381,"162.132_220253","2022-04-07",-78.0091633395461,34.0668500002065,NA,0,0,"billjones",1,1.00932263551405,-1.58391269182467,1.2441087985739,1.59389757758044,-0.503251100114711,-0.281902246503874,0.389503679417064,3.40497920432335,-0.972219757247922,-0.80878705549952,-0.118738404368967,1.3942904517226
"614",2385,"162.132_220253","2022-04-28",-78.01258602,34.05708402,17,0,1,"billjones",1,0.729715160088252,-0.623215050092802,0.546585780140718,0.60611728960631,0.361852717165838,-0.281902246503874,-1.08043354925168,-0.548215286088905,-0.895456219918114,-0.80878705549952,-0.638932326771066,-0.641900882569304
"616",2388,"162.132_220253","2022-04-28",-77.9857885541858,34.0567976832747,NA,0,0,"billjones",0,0.081094806464586,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.379664836606292,-0.281902246503874,-1.08451568184397,-0.548215286088905,0.0164834095886705,1.06979555553501,-0.566897223042688,-0.080691813603858
"617",2389,"162.132_220253","2022-04-25",-78.01257027,34.05696766,17,0,1,"billjones",0,0.729715160088252,-0.623215050092802,0.546585780140718,0.60611728960631,0.361852717165838,-0.281902246503874,-0.965695124335396,-0.443458513300126,-0.916017939920989,-0.80878705549952,-0.749005660091642,-0.67101337225732
"618",2390,"162.132_220253","2022-04-21",-77.9860475107346,34.0542649740292,NA,0,0,"billjones",1,0.481904294333835,-0.25371600396207,-0.499698781722315,0.246924323076069,-0.503251100114711,-0.281902246503874,0.799930324462717,-0.161195696860164,-0.493050532531414,-0.579930819452322,0.336601761534641,0.607606446539941
"619",2391,"162.132_220253","2022-04-25",-77.9961169815538,34.0541175942594,NA,0,0,"billjones",0,0.770087308168191,0.411382296472103,-0.499698781722315,0.291823470319781,-0.503251100114711,-0.281902246503874,0.888618497611699,-0.548215286088905,0.104088602702162,-0.687752152085867,2.24385081499449,0.350501519515315
"620",2393,"162.132_220253","2022-04-21",-77.9814257550272,34.0575202122829,NA,0,0,"billjones",1,-0.175286249685659,0.891731160835163,-0.499698781722315,-0.830654259385485,0.856197734828332,-0.179476132925869,-0.271637430744881,-0.548215286088905,0.470959153490132,0.824161065732187,-0.75558450638785,-1.07801373574638
"621",2394,"162.132_220253","2022-04-13",-78.004852288182,34.0615518100577,NA,0,0,"billjones",1,-0.0808900050360969,0.559182054115203,-0.499698781722315,-0.561259613770096,1.22695653444639,-0.281902246503874,-0.828552578364962,-0.449126634940449,-0.51106038926084,-0.376868738620324,-1.05518574204357,0.574703945298108
"623",2396,"162.132_220253","2022-04-28",-78.0148379359593,34.0592585424115,NA,0,0,"billjones",1,1.19251995749747,-0.992714139720664,-0.499698781722315,2.04288883859811,-0.503251100114711,-0.281902246503874,2.41705860916296,0.262014725853739,-0.444692386360499,-0.80878705549952,-0.432441732080236,0.409299688016086
"625",2398,"162.132_220253","2022-04-13",-77.9969368889641,34.0694301510407,NA,0,0,"billjones",1,0.3118306135828,0.891731160835163,-0.209064173601857,-0.830654259385485,0.60902522599709,-0.281902246503874,0.766496981883899,-0.548215286088905,-0.905383647359093,0.653110680570639,-0.877512733468852,-0.100188305185747
"626",2399,"162.132_220253","2022-04-25",-77.9991805987223,34.0647653762577,NA,0,0,"billjones",1,-1.08991752037726,-0.25371600396207,-0.499698781722315,0.516318995118891,1.10337031640194,-0.281902246503874,-0.702277724135456,-0.548215286088905,-0.255043395980091,-0.687515146476554,-0.909119842625965,1.00158279325477
"627",2400,"162.132_220253","2022-04-07",-78.0020532659261,34.0534097038434,NA,0,0,"billjones",0,-0.14511008787071,1.22428044154363,-0.499698781722315,-0.830654259385485,-0.503251100114711,0.230228313850204,0.0523179325210092,-0.548215286088905,-0.224068474925594,1.76081541383864,-0.460081561901029,-1.3592962046628
"837",3503,"162.202_214532","2022-03-31",-77.96628127808,34.0725734735149,NA,0,0,"bigbay",1,-0.311511020881131,-1.58391269182467,-0.499698781722315,0.15712613429837,-0.503251100114711,-0.0770500193478633,3.42752179217516,3.49293573272239,0.619507018372618,-0.769793411418146,1.76337934481252,-1.15241855568918
"843",3509,"162.202_214532","2022-03-10",-77.9606907206959,34.0721517656683,NA,0,0,"bigbay",1,-0.926215423789686,-0.47541546643821,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.0770500193478633,0.190675299926563,0.0400210727358771,1.53893328632808,3.40324938326148,-0.0405070862121055,-1.13249172055067
"844",3510,"162.202_214532","2022-03-14",-77.9741977824618,34.0592620022348,NA,0,0,"bigbay",1,0.327134334003467,0.670031698359022,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,0.527890147992692,-0.548215286088905,1.05548943695934,0.380859577646769,-0.0546585244471612,-0.573099354640713
"845",3511,"162.202_214532","2022-03-14",-77.97368862,34.06629444,11,0,1,"bigbay",0,-0.0718119444316161,1.07648068390053,-0.499698781722315,-0.830654259385485,0.361852717165838,-0.281902246503874,-0.266530094109222,-0.548215286088905,-0.172169102043957,1.00590284128787,-0.832577238281566,-0.565807941430626
"848",3514,"162.202_214532","2022-03-01",-77.9658998791379,34.0670449060726,NA,0,0,"bigbay",0,0.16085812428987,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.189670815000478,-0.548215286088905,0.897837550906093,1.53092311703046,-0.0434584198100491,-0.481192217282971
"855",3522,"162.202_214532","2022-03-02",-77.9848478272898,34.0644146182468,NA,0,0,"bigbay",1,0.217397696845967,-0.142866272723998,-0.499698781722315,1.01020929767054,-0.503251100114711,-0.281902246503874,1.50561955454239,-0.548215286088905,0.394918910407479,-0.80878705549952,0.548254006397394,-0.562382983522811
"863",3530,"162.202_214532","2022-03-14",-77.9757387401946,34.0757840701518,NA,0,0,"bigbay",1,-0.666910914682048,-1.58391269182467,-0.499698781722315,-0.830654259385485,-0.503251100114711,1.04963722247424,2.41231170433762,2.27613207742178,-0.226363255697327,0.218306884624617,1.97845023386718,-1.3292683749248
"865",3532,"162.202_214532","2022-03-08",-77.9846051431871,34.0649745292881,NA,0,0,"bigbay",1,0.704333109682602,0.337482591639063,-0.499698781722315,0.426520806341191,-0.503251100114711,-0.281902246503874,1.52424934325533,-0.548215286088905,0.325857334070446,-0.643144406479204,0.918114537099207,-0.658676741143867
"868",3535,"162.202_214532","2022-03-01",-77.9659121003377,34.06713285811,NA,0,0,"bigbay",0,0.16085812428987,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.0195088763700547,-0.548215286088905,0.879736498992748,1.40875189550806,-0.0887660579593929,-0.498969488962226
"881",3548,"162.202_214532","2022-03-31",-77.98019302,34.07103984,13,0,1,"bigbay",0,-0.0804487939860817,1.18733050213286,-0.499698781722315,-0.606158708158945,-0.503251100114711,-0.281902246503874,-0.621752713700061,-0.548215286088905,-0.724872396711888,0.0486007966083617,0.0146125962991359,0.227978730397763
"883",3550,"162.202_214532","2022-03-01",-77.97699662,34.06771619,9,0,1,"bigbay",0,-0.383619040487905,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-1.01842936071782,-0.548215286088905,-0.700506481532913,0.425048885587588,-0.197564150697423,0.147465533746454
"897",3564,"162.202_214532","2022-03-02",-77.97971474,34.06854152,9,0,1,"bigbay",0,-0.548224378225064,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.928616321670954,-0.548215286088905,-0.649980046929718,0.252923533065544,-0.0938982880300477,0.63118934293669
"899",3566,"162.202_214532","2022-03-02",-77.9850162239685,34.0733142423174,NA,0,0,"bigbay",1,1.19011526177464,-1.14051381036951,2.1741396266712,0.067327945520671,-0.503251100114711,-0.281902246503874,0.664708242335493,0.306339102429197,-0.978315156331956,-0.632919511837033,-0.299539451913125,-0.648558924576327
"903",3570,"162.202_214532","2022-03-08",-77.9794938,34.06760325,10,0,1,"bigbay",0,-0.136945009438995,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-1.07900256221177,-0.548215286088905,-0.523817209681466,1.151136013578,0.106409452085044,0.667498594575346
"908",3575,"162.202_214532","2022-03-10",-77.97926587,34.06737856,10,0,1,"bigbay",0,-0.414856782829265,1.33513008578745,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.841602034818353,-0.548215286088905,-0.514778530158,0.896975917045331,0.149105153746658,0.713516619233022
"912",3579,"162.202_214532","2022-03-10",-77.9682624813674,34.0729592879267,NA,0,0,"bigbay",1,-0.111043628797414,-1.58391269182467,-0.499698781722315,0.202025281542082,-0.503251100114711,-0.281902246503874,4.17417327648725,4.70985550818752,0.300395996349382,-0.80878705549952,2.41798097538459,-1.0078589276137
"915",3582,"162.202_214532","2022-03-08",-77.967268466819,34.068230863209,NA,0,0,"bigbay",1,0.304082107142463,1.03953074448976,-0.499698781722315,-0.381663156932405,-0.503251100114711,-0.281902246503874,-1.08579846274164,-0.548215286088905,0.574582065402063,-0.295695665868793,0.526978071369666,-0.891753382695554
"916",3583,"162.202_214532","2022-03-31",-77.9716258422101,34.0605281609121,NA,0,0,"bigbay",0,-0.434662765964669,0.152733068573695,-0.499698781722315,-0.830654259385485,-0.503251100114711,0.844784950102545,-0.0997859984866469,0.0818281928657751,0.991739086014962,0.672213667554135,-0.494985570038739,-1.3592962046628
"927",3594,"162.202_220051","2022-04-26",-77.9915589577673,34.0668798117136,NA,0,0,"billjones",1,1.24581901634161,-0.992714139720664,-0.499698781722315,1.9979896913544,-0.503251100114711,-0.281902246503874,2.24703656749816,0.234599664028793,-0.27699707188452,-0.80878705549952,0.317391998797317,-0.0118083518757959
"940",3607,"162.202_220051","2022-04-22",-77.9933247491063,34.0675934604993,NA,0,0,"billjones",0,0.0517743266860321,0.52223211470443,-0.499698781722315,0.15712613429837,-0.503251100114711,-0.281902246503874,-0.115596143941883,-0.548215286088905,-0.410844668000916,-0.57024023870174,-0.08555048352924,0.480165961590304
"984",3651,"162.202_220051","2022-04-28",-77.9982972386803,34.0594363349798,NA,0,0,"billjones",1,1.36241027781214,-0.29066585637859,-0.499698781722315,1.14490652798223,-0.503251100114711,-0.281902246503874,1.30950628170424,-0.54307067194067,0.48386923248373,-0.80878705549952,-0.0125812418416484,0.671124530047272
"987",3654,"162.202_220051","2022-04-12",-77.9850253532341,34.0594674702555,NA,0,0,"billjones",1,0.339920668433115,0.633081758948246,-0.499698781722315,-0.830654259385485,1.84488791563805,-0.281902246503874,-1.10680708920947,-0.548215286088905,0.578055081989514,0.425132015851462,-0.914330497874769,-0.338666392508575
"993",3660,"162.202_220051","2022-04-28",-78.008983406734,34.0591822103949,NA,0,0,"billjones",0,0.499739534779155,-0.734064781330874,0.837220422474441,-0.830654259385485,3.69868176824359,-0.281902246503874,-0.797970296927174,-0.16070257713788,-0.905844126227142,0.164990937123641,-1.05518574204357,-0.842856208493993
"1018",3685,"162.202_220051","2022-04-22",-77.9893875942684,34.0591809573919,NA,0,0,"billjones",1,-0.311926637870242,0.226632773406738,-0.499698781722315,-0.830654259385485,3.08075053253666,-0.281902246503874,-0.834462432602652,-0.223997816797373,0.401369479552124,0.0949054783486653,-1.05518574204357,0.900022964791644
"1026",3693,"162.202_220051","2022-04-12",-77.99404161,34.07173753,15,0,1,"billjones",1,-1.06954254688774,-1.58391269182467,3.91794734382047,-0.830654259385485,-0.00890604608103462,-0.281902246503874,-0.25882161685595,2.20208338233182,-0.978315156331956,0.174204285741315,-0.715492497900568,-0.697332815859934
