"","X","Bird.ID","Date","x","y","week","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water"
"91",1080,"162.053_220257","2022-10-07",-78.0023940087912,34.0710715865877,NA,0,0,"billjones",1,0.829080854564394,-1.58391269182467,-0.499698781722315,2.58167818268375,-0.503251100114711,0.0253760716222968,1.15988285964832,2.89412398404773,-0.598618382906188,-0.80878705549952,0.297724021535984,-1.14653339472614
"98",1087,"162.053_220257","2022-10-01",-78.0039880745187,34.0661425528764,40,0,1,"billjones",0,-0.65908237905125,0.337482591639063,0.0815704345186012,-0.830654259385485,1.47412911602,-0.281902246503874,-0.798132568465594,-0.548215286088905,-0.923334937818701,0.687728556026532,-0.976037184719959,0.537789676137622
"113",1102,"162.053_220257","2022-10-07",-78.0050396864077,34.0643458507437,41,0,1,"billjones",1,0.0289830064459505,0.189682833995962,-0.499698781722315,0.561218142362602,-0.503251100114711,-0.281902246503874,-0.771205389924325,-0.548215286088905,-0.620988770137121,-0.667714524797077,-0.494787162012835,1.26879038708588
"117",1106,"162.053_220257","2022-10-21",-78.0050260104558,34.0639327714827,43,0,1,"billjones",1,0.315697990786604,-0.216766064551294,-0.499698781722315,1.05510844491425,-0.503251100114711,-0.281902246503874,-0.186577474425378,-0.475971243017286,-0.636419717962574,-0.80878705549952,-0.260638005282147,1.28739179186774
"136",1125,"162.053_220257","2022-10-21",-78.0003845109175,34.0658677707276,NA,0,0,"billjones",1,-0.447513658547956,-1.10356387095874,-0.499698781722315,2.08778777442238,-0.503251100114711,-0.281902246503874,0.638224064078004,0.490925397173184,-0.507032229441888,-0.80878705549952,-0.399377858894528,0.561965776022334
"140",1129,"162.053_220257","2022-10-14",-78.0045446823468,34.0645649832188,42,0,1,"billjones",1,-0.191796137976832,0.152733068573695,-0.499698781722315,0.561218142362602,-0.379664836606292,-0.281902246503874,-0.709496683941329,-0.548215286088905,-0.64647495556557,-0.76493423085001,-0.555810421326961,1.14066427120697
"143",1132,"162.053_220257","2022-10-01",-78.0072396176311,34.063535347923,NA,0,0,"billjones",1,-0.848134819969018,-1.32526333343488,1.47661653981149,0.740814625627721,-0.13249233686784,-0.281902246503874,-0.490850163767866,0.584581392570512,-0.978315156331956,-0.625894774474561,-0.700716017533475,0.909809015490917
"144",1133,"162.053_220257","2022-10-31",-78.0031131648393,34.0645738820103,44,0,1,"billjones",1,-0.202836728251855,-0.0320164544916731,-0.499698781722315,0.875511961649131,-0.503251100114711,-0.281902246503874,0.285817673641112,-0.0864119406024153,-0.58700258261961,-0.80878705549952,-0.32284153652344,1.02136004187642
"145",1134,"162.053_220257","2022-10-12",-77.9967138998821,34.0501836165055,NA,0,0,"billjones",1,-0.116375406486279,-0.438465527027435,-0.499698781722315,1.01020929767054,-0.503251100114711,-0.281902246503874,2.07380819468172,-0.548215286088905,-0.262037261923032,-0.740705376069249,0.82911790644911,0.392241057066574
"151",1140,"162.053_220257","2022-10-14",-78.0110382905323,34.0559270523878,NA,0,0,"billjones",0,-0.458773899345717,-1.10356387095874,1.76725111371868,-0.336764062543557,1.47412911602,0.435080525934318,-0.812993979196832,-0.181416220132385,-0.978315156331956,-0.799771717220646,-0.902315698047047,-1.18325815288478
